Draw Date,Wi,nni,ng,Num,ber
5/14/22,6,40,41,45,52
5/11/22,5,7,61,63,69
5/9/22,18,30,35,52,56
5/7/22,4,5,6,28,67
5/4/22,37,39,55,63,69
5/2/22,18,27,33,39,44
4/30/22,14,21,37,44,63
4/27/22,11,36,61,62,68
4/25/22,12,18,20,39,61
4/23/22,10,39,47,49,56
4/20/22,20,30,45,55,56
4/18/22,8,33,55,59,62
4/16/22,15,21,32,62,65
4/13/22,14,16,41,63,68
4/11/22,5,7,24,31,34
4/6/22,6,42,45,47,64
4/4/22,2,32,39,46,69
4/2/22,6,28,47,58,59
3/30/22,3,7,21,31,37
3/28/22,11,18,39,58,62
3/26/22,2,10,50,59,61
3/23/22,31,32,37,38,48
3/21/22,1,15,26,63,65
3/19/22,8,9,18,48,52
3/16/22,3,28,34,35,58
3/14/22,21,28,32,44,49
3/9/22,13,22,34,51,67
3/7/22,10,43,55,59,67
3/5/22,8,23,37,52,63
3/2/22,19,37,48,61,63
2/28/22,7,21,39,47,55
2/26/22,15,32,36,48,64
2/23/22,6,17,21,35,64
2/21/22,2,36,37,45,69
2/19/22,3,10,15,33,42
2/16/22,22,30,40,42,48
2/14/22,16,25,27,49,55
2/12/22,8,10,21,41,62
2/9/22,2,17,33,51,63
2/7/22,5,15,38,47,65
2/5/22,5,16,27,39,61
2/2/22,18,29,33,62,63
1/31/22,10,15,51,61,69
1/29/22,2,15,38,54,65
1/26/22,4,11,38,49,69
1/24/22,11,29,30,47,53
1/22/22,8,14,33,36,67
1/19/22,11,15,43,55,61
1/17/22,9,24,35,46,65
1/15/22,3,18,37,51,59
1/12/22,12,21,22,30,33
1/10/22,14,17,18,21,27
1/8/22,20,21,36,60,65
1/5/22,6,14,25,33,46
1/3/22,2,13,32,33,48
1/1/22,6,12,39,48,50
12/29/21,2,6,9,33,39
12/27/21,36,38,45,62,64
12/25/21,27,29,45,55,58
12/22/21,7,16,19,48,68
12/20/21,2,13,23,34,66
12/18/21,2,6,24,51,61
12/15/21,19,20,40,42,59
12/13/21,10,30,37,53,59
12/11/21,3,25,44,53,64
12/8/21,3,7,33,50,69
12/6/21,3,21,38,50,59
12/4/21,10,40,45,56,67
12/1/21,12,15,38,57,63
11/29/21,18,26,28,38,47
11/27/21,8,32,55,64,66
11/24/21,10,16,32,63,65
11/22/21,7,20,29,38,67
11/20/21,40,43,48,59,69
11/17/21,3,16,48,52,60
11/15/21,5,31,34,51,53
11/13/21,8,15,26,35,45
11/10/21,19,25,43,46,48
11/8/21,21,46,47,57,62
11/6/21,8,30,48,57,64
11/3/21,1,2,24,50,57
11/1/21,9,25,34,44,45
10/30/21,5,23,28,43,56
10/27/21,3,6,26,35,51
10/25/21,10,27,29,44,58
10/23/21,10,30,51,57,63
10/20/21,7,29,36,41,43
10/18/21,30,32,48,53,63
10/16/21,30,31,41,42,48
10/13/21,23,29,47,59,60
10/11/21,11,20,33,39,65
10/9/21,12,17,30,45,62
10/6/21,1,17,52,58,64
10/4/21,12,22,54,66,69
10/2/21,28,38,42,47,52
9/29/21,2,7,11,17,32
9/27/21,21,22,39,44,60
9/25/21,22,23,37,62,63
9/22/21,20,40,47,55,63
9/20/21,37,51,54,58,60
9/18/21,5,36,39,45,57
9/15/21,1,4,18,46,62
9/13/21,37,40,50,61,63
9/11/21,20,31,38,40,49
9/8/21,9,22,41,47,61
9/6/21,11,20,22,33,54
9/4/21,32,35,40,52,54
9/1/21,10,20,29,48,51
8/30/21,3,15,45,51,61
8/28/21,12,22,26,46,59
8/25/21,27,39,54,56,59
8/23/21,17,36,47,60,61
8/21/21,16,28,36,39,59
8/18/21,35,36,51,55,61
8/14/21,6,21,49,65,67
8/11/21,12,18,20,29,30
8/7/21,7,24,36,54,60
8/4/21,5,21,32,36,58
7/31/21,1,21,22,34,47
7/28/21,25,30,53,59,60
7/24/21,1,4,11,59,67
7/21/21,27,28,44,67,68
7/17/21,15,22,38,54,66
7/14/21,33,46,52,59,62
7/10/21,1,5,29,54,62
7/7/21,8,21,30,49,57
7/3/21,26,40,41,55,65
6/30/21,24,29,50,65,66
6/26/21,8,31,39,43,60
6/23/21,13,20,40,51,63
6/19/21,4,22,35,38,39
6/16/21,19,29,34,44,50
6/12/21,8,25,34,38,41
6/9/21,19,28,46,50,54
6/5/21,44,52,54,64,69
6/2/21,6,7,11,66,67
5/29/21,11,13,22,27,46
5/26/21,2,8,21,34,62
5/22/21,3,19,27,37,40
5/19/21,11,13,55,56,69
5/15/21,4,10,37,39,69
5/12/21,1,19,20,38,54
5/8/21,12,17,20,21,26
5/5/21,16,23,28,40,63
5/1/21,35,36,47,61,63
4/24/21,22,36,48,59,61
4/21/21,21,25,32,63,67
4/17/21,10,21,26,41,49
4/14/21,13,30,33,45,61
4/10/21,14,16,23,50,53
4/7/21,27,35,39,51,66
4/3/21,1,12,17,39,53
3/31/21,3,10,44,55,68
3/27/21,6,14,38,39,65
3/24/21,4,9,17,27,38
3/20/21,1,6,22,42,61
3/17/21,34,38,42,61,62
3/13/21,5,11,51,56,61
3/10/21,17,18,37,44,53
3/6/21,11,31,50,52,58
3/3/21,21,40,44,50,55
2/27/21,2,28,31,44,52
2/24/21,4,33,43,53,65
2/20/21,4,8,22,32,58
2/17/21,1,15,21,32,46
2/13/21,20,28,33,63,68
2/10/21,15,39,58,63,67
2/6/21,1,16,48,49,65
2/3/21,5,37,40,64,66
1/30/21,1,2,7,52,61
1/27/21,17,33,35,42,52
1/23/21,5,8,17,27,28
1/20/21,40,53,60,68,69
1/16/21,14,20,39,65,67
1/13/21,4,19,23,25,49
1/9/21,14,26,38,45,46
1/6/21,1,20,22,60,66
1/2/21,3,4,11,41,67
12/30/20,3,43,45,61,65
12/26/20,10,24,27,35,53
12/23/20,6,13,38,39,53
12/19/20,27,32,34,43,52
12/16/20,4,23,37,61,67
12/12/20,17,54,56,63,69
12/9/20,11,14,31,47,48
12/5/20,3,4,6,48,53
12/2/20,28,31,40,41,46
11/28/20,8,12,18,44,51
11/25/20,2,57,58,60,65
11/21/20,51,54,57,60,69
11/18/20,4,5,17,43,52
11/14/20,7,15,18,32,45
11/11/20,13,15,17,45,63
11/7/20,14,16,37,48,58
11/4/20,23,32,33,45,49
10/31/20,2,6,40,42,55
10/28/20,11,28,37,40,53
10/24/20,18,20,27,45,65
10/21/20,1,3,13,44,56
10/17/20,6,10,31,37,44
10/14/20,21,37,52,53,58
10/10/20,5,18,23,40,50
10/7/20,6,24,30,53,56
10/3/20,18,31,36,43,47
9/30/20,14,18,36,49,67
9/26/20,11,21,27,36,62
9/23/20,8,17,49,52,59
9/19/20,11,14,23,47,57
9/16/20,10,17,31,51,53
9/12/20,16,17,20,53,67
9/9/20,27,52,55,60,64
9/5/20,15,21,22,27,47
9/2/20,1,4,11,20,69
8/29/20,5,21,22,29,43
8/26/20,8,12,19,47,58
8/22/20,19,30,36,42,66
8/19/20,13,23,47,55,58
8/15/20,5,12,34,45,56
8/12/20,2,6,18,36,37
8/8/20,2,3,14,40,51
8/5/20,7,14,17,57,65
8/1/20,6,25,36,43,48
7/29/20,7,29,35,40,45
7/25/20,5,21,36,61,62
7/22/20,16,25,36,44,55
7/18/20,13,16,32,58,59
7/15/20,27,47,61,62,69
7/11/20,14,19,61,62,64
7/8/20,3,10,34,36,62
7/4/20,16,21,27,60,61
7/1/20,15,28,52,53,63
6/27/20,9,36,49,56,62
6/24/20,15,22,27,33,46
6/20/20,10,31,41,63,67
6/17/20,7,10,63,64,68
6/13/20,2,12,32,50,65
6/10/20,10,33,41,52,54
6/6/20,1,17,38,68,69
6/3/20,1,3,26,41,64
5/30/20,13,32,41,58,60
5/27/20,38,58,59,64,68
5/23/20,2,8,18,21,23
5/20/20,18,34,40,42,50
5/16/20,8,12,26,39,42
5/13/20,39,53,54,56,57
5/9/20,12,18,42,48,65
5/6/20,7,8,35,50,65
5/2/20,13,16,33,58,68
4/29/20,2,20,49,61,67
4/25/20,1,3,21,47,57
4/22/20,1,33,35,40,69
4/18/20,4,44,46,56,63
4/15/20,10,12,33,36,41
4/11/20,22,29,30,42,47
4/8/20,2,37,39,48,54
4/4/20,8,31,39,40,43
4/1/20,33,35,45,48,60
3/28/20,7,40,48,55,66
3/25/20,5,9,27,39,42
3/21/20,2,23,40,59,69
3/18/20,15,27,44,59,63
3/14/20,9,23,26,30,32
3/11/20,4,29,49,50,67
3/7/20,7,15,21,33,62
3/4/20,18,43,58,60,68
2/29/20,24,44,46,50,51
2/26/20,8,27,29,36,47
2/22/20,25,37,39,61,62
2/19/20,10,12,15,19,56
2/15/20,16,32,35,36,46
2/12/20,14,47,54,55,68
2/8/20,35,49,50,59,66
2/5/20,23,30,35,41,57
2/1/20,12,33,54,57,60
1/29/20,9,12,15,31,60
1/25/20,2,9,17,36,67
1/22/20,11,33,44,59,67
1/18/20,20,24,38,56,68
1/15/20,39,41,53,55,68
1/11/20,3,21,23,31,59
1/8/20,2,4,7,43,56
1/4/20,1,11,21,25,54
1/1/20,49,53,57,59,62
12/28/19,20,23,39,59,60
12/25/19,2,4,16,30,46
12/21/19,19,31,35,50,67
12/18/19,14,18,26,39,68
12/14/19,3,6,12,32,64
12/11/19,24,29,42,44,63
12/7/19,18,42,53,62,66
12/4/19,8,27,44,51,61
11/30/19,15,35,42,63,68
11/27/19,15,26,37,53,55
11/23/19,28,35,38,61,66
11/20/19,7,15,39,40,57
11/16/19,14,22,26,55,63
11/13/19,23,26,27,28,66
11/9/19,14,17,35,38,60
11/6/19,15,28,46,62,64
11/2/19,3,23,32,37,58
10/30/19,19,22,52,56,67
10/26/19,3,20,48,54,59
10/23/19,5,12,50,61,69
10/19/19,14,27,29,59,65
10/16/19,1,5,25,63,67
10/12/19,12,29,34,53,65
10/9/19,5,18,33,43,65
10/5/19,6,14,36,51,54
10/2/19,4,8,10,43,53
9/28/19,15,23,34,51,55
9/25/19,37,43,44,45,53
9/21/19,1,9,22,36,68
9/18/19,14,19,39,47,51
9/14/19,11,27,31,36,67
9/11/19,6,17,24,53,57
9/7/19,11,20,41,42,56
9/4/19,4,8,30,52,59
8/31/19,14,41,50,56,57
8/28/19,9,32,37,41,56
8/24/19,5,12,20,21,47
8/21/19,12,21,22,29,32
8/17/19,18,21,24,30,60
8/14/19,10,13,30,51,69
8/10/19,35,41,44,58,59
8/7/19,8,32,47,53,59
8/3/19,3,6,45,66,68
7/31/19,14,37,47,55,67
7/27/19,1,19,31,48,61
7/24/19,22,29,35,53,56
7/20/19,5,26,36,64,69
7/17/19,19,43,47,60,68
7/13/19,13,23,32,35,68
7/10/19,7,9,26,44,68
7/6/19,4,8,23,46,65
7/3/19,40,43,45,50,61
6/29/19,13,17,24,59,62
6/26/19,1,5,16,22,54
6/22/19,3,6,11,14,66
6/19/19,4,18,21,26,38
6/15/19,8,11,14,16,49
6/12/19,5,35,38,42,57
6/8/19,9,13,42,48,60
6/5/19,17,23,28,34,38
6/1/19,6,15,34,45,52
5/29/19,3,32,34,42,61
5/25/19,1,2,39,43,66
5/22/19,7,10,20,44,57
5/18/19,2,10,25,66,67
5/15/19,7,17,33,61,68
5/11/19,6,8,9,37,40
5/8/19,1,45,53,64,66
5/4/19,6,16,23,30,61
5/1/19,5,23,28,56,66
4/27/19,2,29,41,45,62
4/24/19,6,32,35,36,65
4/20/19,3,27,30,63,65
4/17/19,1,15,17,46,66
4/13/19,4,17,26,32,49
4/10/19,12,21,23,39,67
4/6/19,15,33,43,59,60
4/3/19,16,19,25,32,49
3/30/19,21,52,54,64,68
3/27/19,16,20,37,44,62
3/23/19,24,25,52,60,66
3/20/19,10,14,50,53,63
3/16/19,30,34,39,53,67
3/13/19,18,36,45,47,69
3/9/19,5,6,45,55,59
3/6/19,6,10,21,35,46
3/2/19,1,19,25,27,68
2/27/19,21,31,42,49,59
2/23/19,4,6,14,20,32
2/20/19,27,49,50,51,52
2/16/19,29,30,41,48,64
2/13/19,2,8,14,24,69
2/9/19,1,2,3,7,39
2/6/19,5,13,28,38,63
2/2/19,10,17,18,43,65
1/30/19,2,12,16,29,54
1/26/19,8,12,20,21,32
1/23/19,23,25,47,48,50
1/19/19,5,8,41,65,66
1/16/19,14,29,31,56,61
1/12/19,7,36,48,57,58
1/9/19,6,19,37,49,59
1/5/19,3,7,15,27,69
1/2/19,8,12,42,46,56
12/29/18,12,42,51,53,62
12/26/18,5,25,38,52,67
12/22/18,21,28,30,40,59
12/19/18,15,29,31,37,43
12/15/18,8,38,43,52,55
12/12/18,4,9,21,29,64
12/8/18,14,32,34,46,61
12/5/18,9,11,36,37,38
12/1/18,10,11,47,55,58
11/28/18,4,19,59,68,69
11/24/18,11,33,51,56,58
11/21/18,7,14,23,38,55
11/17/18,6,8,20,52,68
11/14/18,7,42,49,62,69
11/10/18,5,29,34,53,57
11/7/18,26,28,34,42,50
11/3/18,15,21,24,32,65
10/31/18,7,25,39,40,47
10/27/18,8,12,13,19,27
10/24/18,3,21,45,53,56
10/20/18,16,54,57,62,69
10/17/18,3,57,64,68,69
10/13/18,11,14,32,43,65
10/10/18,8,23,27,42,60
10/6/18,1,22,27,53,67
10/3/18,41,53,59,63,66
9/29/18,9,17,34,59,64
9/26/18,1,2,7,30,50
9/22/18,24,61,63,64,69
9/19/18,4,39,48,50,51
9/15/18,2,18,19,24,34
9/12/18,6,28,48,63,64
9/8/18,3,13,20,32,33
9/5/18,6,15,50,59,60
9/1/18,11,54,55,61,66
8/29/18,25,41,53,57,67
8/25/18,20,25,54,57,63
8/22/18,1,7,45,47,69
8/18/18,24,34,52,61,67
8/15/18,12,15,28,47,48
8/11/18,5,43,56,62,68
8/8/18,10,21,30,43,63
8/4/18,3,11,38,44,58
8/1/18,5,22,32,38,58
7/28/18,22,27,46,56,65
7/25/18,2,18,41,44,64
7/21/18,9,23,56,58,68
7/18/18,1,10,27,28,36
7/14/18,22,41,42,49,67
7/11/18,19,21,27,46,47
7/7/18,1,10,43,45,64
7/4/18,4,7,15,41,44
6/30/18,3,9,20,42,61
6/27/18,7,28,37,62,63
6/23/18,16,29,43,45,56
6/20/18,4,14,23,27,56
6/16/18,9,45,57,58,65
6/13/18,13,20,38,45,55
6/9/18,6,10,15,25,36
6/6/18,23,28,41,53,56
6/2/18,23,25,37,44,64
5/30/18,17,23,26,46,68
5/26/18,1,21,31,45,49
5/23/18,20,54,56,61,64
5/19/18,3,6,9,17,56
5/16/18,17,19,21,22,51
5/12/18,22,42,45,55,56
5/9/18,11,16,38,50,69
5/5/18,14,29,36,57,61
5/2/18,5,14,31,40,50
4/28/18,20,22,28,45,50
4/25/18,17,18,39,56,64
4/21/18,40,50,54,62,69
4/18/18,9,10,12,17,23
4/14/18,17,19,26,61,62
4/11/18,16,18,27,55,67
4/7/18,2,17,20,38,39
4/4/18,8,24,42,54,64
3/31/18,8,24,52,55,61
3/28/18,6,8,26,52,53
3/24/18,10,33,45,53,56
3/21/18,3,4,18,29,61
3/17/18,22,57,59,60,66
3/14/18,6,12,24,41,68
3/10/18,43,44,54,61,69
3/7/18,6,13,19,36,51
3/3/18,13,17,25,36,40
2/28/18,12,30,59,65,69
2/24/18,24,25,38,62,63
2/21/18,7,15,31,34,36
2/17/18,13,26,39,44,62
2/14/18,37,39,44,46,69
2/10/18,1,13,27,41,59
2/7/18,23,34,35,40,47
2/3/18,15,23,27,48,53
1/31/18,4,7,14,46,59
1/27/18,17,21,26,47,54
1/24/18,5,9,11,33,64
1/20/18,26,28,47,49,58
1/17/18,3,33,37,51,57
1/13/18,14,25,35,58,69
1/10/18,7,24,33,49,50
1/6/18,12,61,30,29,33
1/3/18,2,18,37,39,42
12/30/17,28,36,41,51,58
12/27/17,3,9,16,56,60
12/23/17,1,3,13,15,44
12/20/17,1,20,61,64,69
12/16/17,9,35,37,50,63
12/13/17,2,24,28,51,58
12/9/17,25,36,37,55,60
12/6/17,19,20,50,55,62
12/2/17,28,30,32,36,58
11/29/17,24,26,28,59,63
11/25/17,8,13,27,53,54
11/22/17,35,37,46,51,61
11/18/17,17,28,31,32,39
11/15/17,23,32,44,48,50
11/11/17,4,6,16,30,56
11/8/17,12,14,20,21,34
11/4/17,12,14,26,48,51
11/1/17,3,6,19,26,44
10/28/17,27,35,38,57,66
10/25/17,18,22,29,54,57
10/21/17,14,41,42,45,69
10/18/17,30,49,54,66,69
10/14/17,32,37,56,66,69
10/11/17,1,3,13,19,69
10/7/17,10,49,61,63,65
10/4/17,22,23,62,63,66
9/30/17,8,12,25,41,64
9/27/17,8,10,21,23,25
9/23/17,24,45,55,56,57
9/20/17,39,48,53,67,68
9/16/17,17,18,24,25,31
9/13/17,17,24,35,57,63
9/9/17,6,20,29,57,59
9/6/17,8,14,32,58,67
9/2/17,6,21,41,52,62
8/30/17,19,28,43,67,69
8/26/17,7,15,32,38,66
8/23/17,6,7,16,23,26
8/19/17,17,19,39,43,68
8/16/17,9,15,43,60,64
8/12/17,20,24,26,35,49
8/9/17,12,30,36,47,62
8/5/17,11,21,28,33,45
8/2/17,1,16,54,63,69
7/29/17,1,28,40,45,48
7/26/17,7,19,21,42,69
7/22/17,5,32,44,53,60
7/19/17,50,51,59,61,63
7/15/17,9,40,63,64,66
7/12/17,1,2,18,23,61
7/8/17,8,10,29,40,59
7/5/17,4,9,16,54,68
7/1/17,19,42,45,48,53
6/28/17,29,37,46,53,68
6/24/17,10,22,32,36,58
6/21/17,14,46,61,65,68
6/17/17,10,13,32,53,62
6/14/17,5,22,43,57,63
6/7/17,5,21,57,66,69
6/3/17,3,9,21,41,54
5/31/17,4,33,39,46,60
5/27/17,5,10,28,55,67
5/24/17,28,32,33,38,62
5/20/17,5,22,45,47,54
5/17/17,4,11,39,45,48
5/13/17,17,20,32,63,68
5/10/17,29,31,46,56,62
5/6/17,11,21,31,41,59
5/3/17,17,18,49,59,66
4/29/17,22,23,24,45,62
4/26/17,1,15,18,26,51
4/22/17,21,39,41,48,63
4/19/17,1,19,37,40,52
4/15/17,5,22,26,45,61
4/12/17,8,14,61,63,68
4/8/17,23,36,51,53,60
4/5/17,8,20,46,53,54
4/1/17,9,32,36,44,65
3/29/17,8,15,31,36,62
3/25/17,18,31,32,45,48
3/22/17,2,9,27,29,42
3/18/17,13,25,44,54,67
3/15/17,16,30,41,48,53
3/11/17,1,26,41,50,57
3/8/17,23,33,42,46,59
3/4/17,2,18,19,22,63
3/1/17,10,16,40,52,55
2/25/17,6,32,47,62,65
2/22/17,10,13,28,52,61
2/18/17,3,7,9,31,33
2/15/17,5,28,33,38,42
2/11/17,5,9,17,37,64
2/8/17,14,20,42,49,66
2/4/17,6,13,16,17,52
2/1/17,9,43,57,60,64
1/28/17,12,20,39,49,69
1/25/17,18,28,62,66,68
1/21/17,23,25,45,52,67
1/18/17,9,40,41,53,58
1/14/17,23,55,59,64,69
1/11/17,1,3,13,16,43
1/7/17,3,12,24,37,63
1/4/17,16,17,29,41,42
12/31/16,1,3,28,57,67
12/28/16,16,23,30,44,58
12/24/16,28,38,42,51,52
12/21/16,25,33,40,54,68
12/17/16,1,8,16,40,48
12/14/16,18,26,37,39,66
12/10/16,12,21,32,44,66
12/7/16,41,48,49,53,64
12/3/16,8,10,26,27,33
11/30/16,3,14,18,25,45
11/26/16,17,19,21,37,44
11/23/16,7,32,41,47,61
11/19/16,16,24,28,43,61
11/16/16,28,41,61,63,65
11/12/16,8,17,20,27,52
11/9/16,1,25,28,31,54
11/5/16,21,31,50,51,69
11/2/16,13,18,37,54,61
10/29/16,19,20,21,42,48
10/26/16,2,3,16,48,56
10/22/16,1,28,33,55,56
10/19/16,10,16,38,43,63
10/15/16,23,49,57,64,67
10/12/16,16,30,34,37,44
10/8/16,3,54,61,64,68
10/5/16,8,18,27,29,60
10/1/16,2,12,50,61,64
9/28/16,30,38,52,53,62
9/24/16,7,15,20,29,41
9/21/16,1,28,63,67,69
9/17/16,9,19,51,55,62
9/14/16,10,11,23,28,31
9/10/16,3,17,49,55,68
9/7/16,22,23,29,33,55
9/3/16,7,39,50,59,67
8/31/16,5,10,24,56,61
8/27/16,4,32,48,49,63
8/24/16,9,11,25,64,65
8/20/16,3,6,21,60,68
8/17/16,33,44,49,50,52
8/13/16,38,44,60,64,69
8/10/16,23,56,61,64,67
8/6/16,20,33,36,47,52
8/3/16,9,11,27,66,67
7/30/16,11,17,21,23,32
7/27/16,10,47,50,65,68
7/23/16,5,7,23,35,39
7/20/16,6,25,35,58,66
7/16/16,11,17,40,50,62
7/13/16,3,15,29,54,57
7/9/16,10,28,32,61,64
7/6/16,2,24,31,57,66
7/2/16,10,34,39,59,63
6/29/16,23,29,37,60,64
6/25/16,3,27,36,56,69
6/22/16,14,40,42,43,52
6/18/16,2,23,41,53,63
6/15/16,4,22,24,31,33
6/11/16,20,27,36,41,58
6/8/16,12,25,37,60,69
